Retailer,SKU,Units,UnitPrice,StartDate,EndDate,SourceFile
Amazon,EZC17,4.0,,2024-01-01,2024-01-05,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,5.0,,2024-01-01,2024-01-05,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,3.0,,2024-01-01,2024-01-05,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,3.0,,2024-01-01,2024-01-05,2024 All Sheets.xlsx::Amazon
Amazon,EZL21B,1.0,,2024-01-01,2024-01-05,2024 All Sheets.xlsx::Amazon
Amazon,6102,2.0,,2024-01-01,2024-01-05,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,10.0,,2024-01-01,2024-01-05,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,6.0,,2024-01-01,2024-01-05,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,1.0,,2024-01-01,2024-01-05,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,1.0,,2024-01-01,2024-01-05,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,2.0,,2024-01-08,2024-01-12,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,3.0,,2024-01-08,2024-01-12,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,15.0,,2024-01-08,2024-01-12,2024 All Sheets.xlsx::Amazon
Amazon,EZL17,1.0,,2024-01-08,2024-01-12,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,3.0,,2024-01-08,2024-01-12,2024 All Sheets.xlsx::Amazon
Amazon,6102,6.0,,2024-01-08,2024-01-12,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,21.0,,2024-01-08,2024-01-12,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,2.0,,2024-01-08,2024-01-12,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,4.0,,2024-01-08,2024-01-12,2024 All Sheets.xlsx::Amazon
Amazon,EZAA25,1.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,1.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,3.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,3.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,3.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,EZL17,3.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,4.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,6102,8.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,20.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,2.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,1.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,MMR4G,4.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,1.0,,2024-01-15,2024-01-19,2024 All Sheets.xlsx::Amazon
Amazon,EZAA25,1.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,EZAA30,1.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,2.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,2.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,3.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,4.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,EZL17,2.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,4.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,EZRMWF,1.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,6102,10.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,6.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,6.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,2.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,1.0,,2024-01-22,2024-01-26,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,1.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,3.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,EZC21B,1.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,3.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,3.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,3.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,EZRMWF,1.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,6102,2.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,16.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,14.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,MMR2G,1.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,3.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,MMR4G,1.0,,2024-01-29,2024-02-02,2024 All Sheets.xlsx::Amazon
Amazon,21-2-26-00,1.0,,2024-02-05,2024-02-09,2024 All Sheets.xlsx::Amazon
Amazon,EZAA25,2.0,,2024-02-05,2024-02-09,2024 All Sheets.xlsx::Amazon
