Retailer,SKU,Units,UnitPrice,StartDate,EndDate,SourceFile
Amazon,EZC17,4,,1/1/2024,1/5/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,5,,1/1/2024,1/5/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,3,,1/1/2024,1/5/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,3,,1/1/2024,1/5/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21B,1,,1/1/2024,1/5/2024,2024 All Sheets.xlsx::Amazon
Amazon,6102,2,,1/1/2024,1/5/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,10,,1/1/2024,1/5/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,6,,1/1/2024,1/5/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,1,,1/1/2024,1/5/2024,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,1,,1/1/2024,1/5/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,2,,1/8/2024,1/12/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,3,,1/8/2024,1/12/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,15,,1/8/2024,1/12/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL17,1,,1/8/2024,1/12/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,3,,1/8/2024,1/12/2024,2024 All Sheets.xlsx::Amazon
Amazon,6102,6,,1/8/2024,1/12/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,21,,1/8/2024,1/12/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,2,,1/8/2024,1/12/2024,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,4,,1/8/2024,1/12/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA25,1,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,1,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,3,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,3,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,3,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL17,3,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,4,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,6102,8,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,20,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,2,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,1,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR4G,4,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,1,,1/15/2024,1/19/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA25,1,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA30,1,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,2,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,2,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,3,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,4,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL17,2,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,4,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZRMWF,1,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,6102,10,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,6,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,6,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,2,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,1,,1/22/2024,1/26/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,1,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,3,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21B,1,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,3,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,3,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,3,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZRMWF,1,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,6102,2,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,16,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,14,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR2G,1,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,3,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR4G,1,,1/29/2024,2/2/2024,2024 All Sheets.xlsx::Amazon
Amazon,21-2-26-00,1,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA25,2,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA30,1,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,1,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,11,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,5,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,2,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL17,2,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,4,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZTHWF,1,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,7,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,9,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR2G,1,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR4G,3,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,1,,2/5/2024,2/9/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA25,2,,2/12/2024,2/16/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA30,1,,2/12/2024,2/16/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,4,,2/12/2024,2/16/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,3,,2/12/2024,2/16/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,5,,2/12/2024,2/16/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,10,,2/12/2024,2/16/2024,2024 All Sheets.xlsx::Amazon
Amazon,6102,9,,2/12/2024,2/16/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,8,,2/12/2024,2/16/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,3,,2/12/2024,2/16/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,1,,2/12/2024,2/16/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR4G,10,,2/12/2024,2/16/2024,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,1,,2/12/2024,2/16/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA30,1,,2/19/2024,2/23/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,5,,2/19/2024,2/23/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,12,,2/19/2024,2/23/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,3,,2/19/2024,2/23/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,8,,2/19/2024,2/23/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL17,2,,2/19/2024,2/23/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,3,,2/19/2024,2/23/2024,2024 All Sheets.xlsx::Amazon
Amazon,6102,2,,2/19/2024,2/23/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,10,,2/19/2024,2/23/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,10,,2/19/2024,2/23/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,1,,2/19/2024,2/23/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR4G,1,,2/19/2024,2/23/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA25,2,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA30,1,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,2,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,8,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,5,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,7,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL17,2,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,3,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,6102,2,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,4,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,17,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR2G,1,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,2,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR4G,3,,2/26/2024,3/1/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA30,2,,3/4/2024,3/8/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,5,,3/4/2024,3/8/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,11,,3/4/2024,3/8/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,5,,3/4/2024,3/8/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,3,,3/4/2024,3/8/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21B,1,,3/4/2024,3/8/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL17,3,,3/4/2024,3/8/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,6,,3/4/2024,3/8/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,10,,3/4/2024,3/8/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,7,,3/4/2024,3/8/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR4G,5,,3/4/2024,3/8/2024,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,1,,3/4/2024,3/8/2024,2024 All Sheets.xlsx::Amazon
Amazon,Adama-22,1,,3/11/2024,3/15/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA25,1,,3/11/2024,3/15/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA30,2,,3/11/2024,3/15/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,7,,3/11/2024,3/15/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,11,,3/11/2024,3/15/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,4,,3/11/2024,3/15/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,7,,3/11/2024,3/15/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL17,3,,3/11/2024,3/15/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,2,,3/11/2024,3/15/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZRMWF,1,,3/11/2024,3/15/2024,2024 All Sheets.xlsx::Amazon
